muni_code,demarcation_label,opinion_code,opinion_label,governance_score
MP324,Nkomazi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP325,Bushbuckridge,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP326,City of Mbombela,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NC061,Richtersveld,qualified,Qualified,3
NC062,Nama Khoi,outstanding,Outstanding,0
NC064,Kamiesberg,qualified,Qualified,3
NC065,Hantam,outstanding,Outstanding,0
NC066,Karoo Hoogland,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NC067,Khai-Ma,qualified,Qualified,3
NC071,Ubuntu,qualified,Qualified,3
NC072,Umsobomvu,qualified,Qualified,3
NC073,Emthanjeni,qualified,Qualified,3
NC074,Kareeberg,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NC075,Renosterberg,outstanding,Outstanding,0
NC076,Thembelihle,qualified,Qualified,3
NC077,Siyathemba,qualified,Qualified,3
NC078,Siyancuma,qualified,Qualified,3
NC082,!Kai! Garib,outstanding,Outstanding,0
NC084,!Kheis,outstanding,Outstanding,0
NC085,Tsantsabane,qualified,Qualified,3
NC086,Kgatelopele,outstanding,Outstanding,0
NC087,Dawid Kruiper,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NC091,Sol Plaatje,qualified,Qualified,3
NC092,Dikgatlong,qualified,Qualified,3
NC093,Magareng,qualified,Qualified,3
NC094,Phokwane,outstanding,Outstanding,0
NC451,Joe Morolong,outstanding,Outstanding,0
NC452,Ga-Segonyana,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NC453,Gamagara,qualified,Qualified,3
NMA,Nelson Mandela Bay,qualified,Qualified,3
NW371,Moretele,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NW372,Madibeng,disclaimer,Disclaimer of opinion,1
NW373,Rustenburg,qualified,Qualified,3
NW374,Kgetlengrivier,disclaimer,Disclaimer of opinion,1
NW375,Moses Kotane,qualified,Qualified,3
NW381,Ratlou,disclaimer,Disclaimer of opinion,1
NW382,Tswaing,qualified,Qualified,3
NW383,Mafikeng,qualified,Qualified,3
NW384,Ditsobotla,outstanding,Outstanding,0
NW385,Ramotshere Moiloa,outstanding,Outstanding,0
NW392,Naledi (NW),disclaimer,Disclaimer of opinion,1
NW393,Mamusa,disclaimer,Disclaimer of opinion,1
NW394,Greater Taung,disclaimer,Disclaimer of opinion,1
NW396,Lekwa-Teemane,qualified,Qualified,3
NW397,Kagisano-Molopo,qualified,Qualified,3
NW403,City of Matlosana,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
NW404,Maquassi Hills,disclaimer,Disclaimer of opinion,1
NW405,J B Marks,qualified,Qualified,3
