muni_code,demarcation_label,uifw_fruitless,uifw_irregular,uifw_unauthorised,uifw_total,uifw_total_rm
NW383,Mafikeng,559695.0,209770249.0,120803265.0,331133209.0,331.13
NW384,Ditsobotla,19148746.0,195711038.0,61725999.0,276585783.0,276.59
NW385,Ramotshere Moiloa,2383099.0,149467424.0,980250.0,152830773.0,152.83
NW392,Naledi (NW),19093803.0,7504311.0,10129849.0,36727963.0,36.73
NW393,Mamusa,15431815.0,54101526.0,104164221.0,173697562.0,173.7
NW394,Greater Taung,70981.0,1456873.0,29929109.0,31456963.0,31.46
NW396,Lekwa-Teemane,3156934.0,78557939.0,220112453.0,301827326.0,301.83
NW397,Kagisano-Molopo,24368.0,113463617.0,35157052.0,148645037.0,148.65
NW403,City of Matlosana,274306.0,489028859.0,642450889.0,1131754054.0,1131.75
NW404,Maquassi Hills,2698371.0,109910379.0,32995777.0,145604527.0,145.6
NW405,J B Marks,616620.0,364709765.0,542310.0,365868695.0,365.87
TSH,City of Tshwane,221559102.0,2702803906.0,566041443.0,3490404451.0,3490.4
WC011,Matzikama,1808376.0,30019307.0,6000343.0,37828026.0,37.83
WC012,Cederberg,3511254.0,12793616.0,1749171.0,18054041.0,18.05
WC013,Bergrivier,297.0,94750.0,764459.0,859506.0,0.86
WC014,Saldanha Bay,25356.0,427960.0,0.0,453316.0,0.45
WC015,Swartland,10767.0,15407005.0,13258009.0,28675781.0,28.68
WC022,Witzenberg,0.0,0.0,1935841.0,1935841.0,1.94
WC023,Drakenstein,0.0,3113057.0,0.0,3113057.0,3.11
WC024,Stellenbosch,0.0,89820222.0,0.0,89820222.0,89.82
WC025,Breede Valley,0.0,0.0,0.0,0.0,0.0
WC026,Langeberg,77599.0,1096656.0,4707818.0,5882073.0,5.88
WC031,Theewaterskloof,1850.0,4477211.0,0.0,4479061.0,4.48
WC032,Overstrand,0.0,1450910.0,14253808.0,15704718.0,15.7
WC033,Cape Agulhas,0.0,4150289.0,7635586.0,11785875.0,11.79
WC034,Swellendam,0.0,19836140.0,3844185.0,23680325.0,23.68
WC041,Kannaland,3441178.0,21459507.0,6699423.0,31600108.0,31.6
WC042,Hessequa,0.0,121276.0,2631310.0,2752586.0,2.75
WC043,Mossel Bay,0.0,43117726.0,14868611.0,57986337.0,57.99
WC044,George,21703.0,5532526.0,84133628.0,89687857.0,89.69
WC045,Oudtshoorn,0.0,24614634.0,0.0,24614634.0,24.61
WC047,Bitou,102577.0,44080048.0,35293700.0,79476325.0,79.48
WC048,Knysna,32340.0,67700043.0,9922302.0,77654685.0,77.65
WC051,Laingsburg,728865.0,13860538.0,10299062.0,24888465.0,24.89
WC052,Prince Albert,93716.0,842695.0,1079611.0,2016022.0,2.02
WC053,Beaufort West,2981.0,23272530.0,103898922.0,127174433.0,127.17
