province,municipality,muni_code,num_taxpayers,taxable_income_rm,avg_taxable_income
Northern Cape,Umsobomvu Local Municipality,NC072,1506,368,244356.0
Western Cape,Beaufort West Local Municipality,WC053,4143,851,205407.0
Western Cape,Bergrivier Local Municipality,WC013,6190,1605,259289.0
Western Cape,Bitou Local Municipality,WC047,5500,1463,266000.0
Western Cape,Breede Valley Local Municipality,WC025,20259,5150,254208.0
Western Cape,Cape Agulhas Local Municipality,WC033,4816,1181,245224.0
Western Cape,Cederberg Local Municipality,WC012,4007,938,234090.0
Western Cape,City of Cape Town Metropolitan Municipality,CPT,702976,236939,337051.0
Western Cape,Drakenstein Local Municipality,WC023,37977,11884,312926.0
Western Cape,George Local Municipality,WC044,30647,7954,259536.0
Western Cape,Hessequa Local Municipality,WC042,7509,1650,219736.0
Western Cape,Kannaland Local Municipality,WC041,1616,337,208540.0
Western Cape,Knysna Local Municipality,WC048,10124,2636,260371.0
Western Cape,Laingsburg Local Municipality,WC051,721,125,173370.0
Western Cape,Langeberg Local Municipality,WC026,9208,2195,238380.0
Western Cape,Matzikama Local Municipality,WC011,5857,1617,276080.0
Western Cape,Mossel Bay Local Municipality,WC043,21068,5387,255696.0
Western Cape,Oudtshoorn Local Municipality,WC045,10328,2530,244965.0
Western Cape,Overstrand Local Municipality,WC032,16886,4375,259090.0
Western Cape,Prince Albert Local Municipality,WC052,829,177,213510.0
Western Cape,Saldanha Bay Local Municipality,WC014,18651,4882,261755.0
Western Cape,Stellenbosch Local Municipality,WC024,24513,10113,412557.0
Western Cape,Swartland Local Municipality,WC015,12805,3501,273409.0
Western Cape,Swellendam Local Municipality,WC034,3875,959,247484.0
Western Cape,Theewaterskloof Local Municipality,WC031,10981,2621,238685.0
Western Cape,Witzenberg Local Municipality,WC022,9121,2325,254906.0
