demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
EC157,King Sabata Dalindyebo,2021,unauthorised,Unauthorised Expenditure,3646060
EC441,Matatiele,2021,fruitless,Fruitless and Wasteful Expenditure,901631
EC441,Matatiele,2021,irregular,Irregular Expenditure,15127717
EC441,Matatiele,2021,unauthorised,Unauthorised Expenditure,69601485
EC442,Umzimvubu,2021,fruitless,Fruitless and Wasteful Expenditure,61343
EC442,Umzimvubu,2021,irregular,Irregular Expenditure,0
EC442,Umzimvubu,2021,unauthorised,Unauthorised Expenditure,0
EC443,Winnie Madikizela-Mandela,2021,fruitless,Fruitless and Wasteful Expenditure,1473
EC443,Winnie Madikizela-Mandela,2021,irregular,Irregular Expenditure,1590000
EC443,Winnie Madikizela-Mandela,2021,unauthorised,Unauthorised Expenditure,0
EC444,Ntabankulu,2021,fruitless,Fruitless and Wasteful Expenditure,23828974
EC444,Ntabankulu,2021,irregular,Irregular Expenditure,15362118
EC444,Ntabankulu,2021,unauthorised,Unauthorised Expenditure,0
EKU,City of Ekurhuleni,2021,fruitless,Fruitless and Wasteful Expenditure,641430
EKU,City of Ekurhuleni,2021,irregular,Irregular Expenditure,226029141
EKU,City of Ekurhuleni,2021,unauthorised,Unauthorised Expenditure,0
ETH,eThekwini,2021,fruitless,Fruitless and Wasteful Expenditure,9573000
ETH,eThekwini,2021,irregular,Irregular Expenditure,770324000
ETH,eThekwini,2021,unauthorised,Unauthorised Expenditure,0
FS161,Letsemeng,2021,fruitless,Fruitless and Wasteful Expenditure,8785108
FS161,Letsemeng,2021,irregular,Irregular Expenditure,164094118
FS161,Letsemeng,2021,unauthorised,Unauthorised Expenditure,177058547
FS162,Kopanong,2021,fruitless,Fruitless and Wasteful Expenditure,0
FS162,Kopanong,2021,irregular,Irregular Expenditure,0
FS162,Kopanong,2021,unauthorised,Unauthorised Expenditure,0
FS163,Mohokare,2021,fruitless,Fruitless and Wasteful Expenditure,11203586
FS163,Mohokare,2021,irregular,Irregular Expenditure,24803506
FS163,Mohokare,2021,unauthorised,Unauthorised Expenditure,53672874
FS181,Masilonyana,2021,fruitless,Fruitless and Wasteful Expenditure,0
FS181,Masilonyana,2021,irregular,Irregular Expenditure,0
FS181,Masilonyana,2021,unauthorised,Unauthorised Expenditure,0
FS182,Tokologo,2021,fruitless,Fruitless and Wasteful Expenditure,0
FS182,Tokologo,2021,irregular,Irregular Expenditure,0
FS182,Tokologo,2021,unauthorised,Unauthorised Expenditure,0
FS183,Tswelopele,2021,fruitless,Fruitless and Wasteful Expenditure,24039
FS183,Tswelopele,2021,irregular,Irregular Expenditure,25279466
FS183,Tswelopele,2021,unauthorised,Unauthorised Expenditure,1387000
FS184,Matjhabeng,2021,fruitless,Fruitless and Wasteful Expenditure,105472288
FS184,Matjhabeng,2021,irregular,Irregular Expenditure,453550791
FS184,Matjhabeng,2021,unauthorised,Unauthorised Expenditure,1274087422
FS185,Nala,2021,fruitless,Fruitless and Wasteful Expenditure,650675
FS185,Nala,2021,irregular,Irregular Expenditure,93894314
FS185,Nala,2021,unauthorised,Unauthorised Expenditure,168667767
FS191,Setsoto,2021,fruitless,Fruitless and Wasteful Expenditure,2504899
FS191,Setsoto,2021,irregular,Irregular Expenditure,93216995
FS191,Setsoto,2021,unauthorised,Unauthorised Expenditure,319561516
FS192,Dihlabeng,2021,fruitless,Fruitless and Wasteful Expenditure,21174242
FS192,Dihlabeng,2021,irregular,Irregular Expenditure,151323677
FS192,Dihlabeng,2021,unauthorised,Unauthorised Expenditure,255555816
FS193,Nketoana,2021,fruitless,Fruitless and Wasteful Expenditure,0
FS193,Nketoana,2021,irregular,Irregular Expenditure,0
FS193,Nketoana,2021,unauthorised,Unauthorised Expenditure,0
FS194,Maluti-a-Phofung,2021,fruitless,Fruitless and Wasteful Expenditure,128540091
FS194,Maluti-a-Phofung,2021,irregular,Irregular Expenditure,29908838
