demarcation.code,demarcation.label,financial_year_end.year,opinion.code,opinion.label
LIM343,Thulamela,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM344,Makhado,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM345,Collins Chabane,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM351,Blouberg,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM353,Molemole,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM354,Polokwane,2021,qualified,Qualified
LIM355,Lepelle-Nkumpi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM361,Thabazimbi,2021,qualified,Qualified
LIM362,Lephalale,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM366,Bela Bela,2021,outstanding,Outstanding
LIM367,Mogalakwena,2021,qualified,Qualified
LIM368,Modimolle-Mookgopong,2021,qualified,Qualified
LIM471,Ephraim Mogale,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM472,Elias Motsoaledi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM473,Makhuduthamaga,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
LIM476,Tubatse Fetakgomo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MAN,Mangaung,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP301,Albert Luthuli,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP302,Msukaligwa,2021,qualified,Qualified
MP303,Mkhondo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP304,Pixley Ka Seme (MP),2021,qualified,Qualified
MP305,Lekwa,2021,disclaimer,Disclaimer of opinion
MP306,Dipaleseng,2021,disclaimer,Disclaimer of opinion
MP307,Govan Mbeki,2021,qualified,Qualified
MP311,Victor Khanye,2021,qualified,Qualified
MP312,Emalahleni (MP),2021,qualified,Qualified
MP313,Steve Tshwete,2021,unqualified,Unqualified - No findings
MP314,Emakhazeni,2021,adverse,Adverse opinion
MP315,Thembisile Hani,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP316,Dr J.S. Moroka,2021,disclaimer,Disclaimer of opinion
MP321,Thaba Chweu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP324,Nkomazi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP325,Bushbuckridge,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
MP326,City of Mbombela,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NC061,Richtersveld,2021,qualified,Qualified
NC062,Nama Khoi,2021,outstanding,Outstanding
NC064,Kamiesberg,2021,qualified,Qualified
NC065,Hantam,2021,outstanding,Outstanding
NC066,Karoo Hoogland,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NC067,Khai-Ma,2021,qualified,Qualified
NC071,Ubuntu,2021,qualified,Qualified
NC072,Umsobomvu,2021,qualified,Qualified
NC073,Emthanjeni,2021,qualified,Qualified
NC074,Kareeberg,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NC075,Renosterberg,2021,outstanding,Outstanding
NC076,Thembelihle,2021,qualified,Qualified
NC077,Siyathemba,2021,qualified,Qualified
NC078,Siyancuma,2021,qualified,Qualified
NC082,!Kai! Garib,2021,outstanding,Outstanding
NC084,!Kheis,2021,outstanding,Outstanding
NC085,Tsantsabane,2021,qualified,Qualified
NC086,Kgatelopele,2021,outstanding,Outstanding
NC087,Dawid Kruiper,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NC091,Sol Plaatje,2021,qualified,Qualified
NC092,Dikgatlong,2021,qualified,Qualified
NC093,Magareng,2021,qualified,Qualified
NC094,Phokwane,2021,outstanding,Outstanding
NC451,Joe Morolong,2021,outstanding,Outstanding
NC452,Ga-Segonyana,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NC453,Gamagara,2021,qualified,Qualified
NMA,Nelson Mandela Bay,2021,qualified,Qualified
NW371,Moretele,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NW372,Madibeng,2021,disclaimer,Disclaimer of opinion
NW373,Rustenburg,2021,qualified,Qualified
NW374,Kgetlengrivier,2021,disclaimer,Disclaimer of opinion
NW375,Moses Kotane,2021,qualified,Qualified
NW381,Ratlou,2021,disclaimer,Disclaimer of opinion
NW382,Tswaing,2021,qualified,Qualified
NW383,Mafikeng,2021,qualified,Qualified
NW384,Ditsobotla,2021,outstanding,Outstanding
NW385,Ramotshere Moiloa,2021,outstanding,Outstanding
NW392,Naledi (NW),2021,disclaimer,Disclaimer of opinion
NW393,Mamusa,2021,disclaimer,Disclaimer of opinion
NW394,Greater Taung,2021,disclaimer,Disclaimer of opinion
NW396,Lekwa-Teemane,2021,qualified,Qualified
NW397,Kagisano-Molopo,2021,qualified,Qualified
NW403,City of Matlosana,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
NW404,Maquassi Hills,2021,disclaimer,Disclaimer of opinion
NW405,J B Marks,2021,qualified,Qualified
TSH,City of Tshwane,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
WC011,Matzikama,2021,unqualified,Unqualified - No findings
WC012,Cederberg,2021,unqualified,Unqualified - No findings
WC013,Bergrivier,2021,unqualified,Unqualified - No findings
WC014,Saldanha Bay,2021,unqualified,Unqualified - No findings
WC015,Swartland,2021,unqualified,Unqualified - No findings
WC022,Witzenberg,2021,unqualified,Unqualified - No findings
WC023,Drakenstein,2021,unqualified,Unqualified - No findings
WC024,Stellenbosch,2021,unqualified,Unqualified - No findings
WC025,Breede Valley,2021,unqualified,Unqualified - No findings
WC026,Langeberg,2021,unqualified,Unqualified - No findings
WC031,Theewaterskloof,2021,unqualified,Unqualified - No findings
WC032,Overstrand,2021,unqualified,Unqualified - No findings
WC033,Cape Agulhas,2021,unqualified,Unqualified - No findings
WC034,Swellendam,2021,unqualified,Unqualified - No findings
WC041,Kannaland,2021,outstanding,Outstanding
WC042,Hessequa,2021,unqualified,Unqualified - No findings
WC043,Mossel Bay,2021,unqualified,Unqualified - No findings
WC044,George,2021,unqualified,Unqualified - No findings
WC045,Oudtshoorn,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
WC047,Bitou,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
WC048,Knysna,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
WC051,Laingsburg,2021,outstanding,Outstanding
WC052,Prince Albert,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
WC053,Beaufort West,2021,outstanding,Outstanding
